[17:35:1 27/10/2022][ERROR]: An impossible position for Q with coords x, y: 2 4
[17:35:4 27/10/2022][ERROR]: An impossible position for Q with coords x, y: 2 4
[17:38:28 27/10/2022][ERROR]: An impossible position for N with coords x, y: 6 7
[17:57:15 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 5
[17:57:28 27/10/2022][ERROR]: An impossible position for P with coords x, y: 5 1
[18:45:42 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 4
[18:47:26 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 4
[18:47:59 27/10/2022][ERROR]: An impossible position for P with coords x, y: 5 6
[18:48:22 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 1
[18:48:24 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 6
[18:53:13 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 1
[18:53:15 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 1
[18:53:15 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 1
[18:53:25 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:26 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:26 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:27 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:27 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:29 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:29 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[18:53:32 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 6
[18:53:33 27/10/2022][ERROR]: An impossible position for P with coords x, y: 4 6
[18:53:37 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 4
[18:53:45 27/10/2022][ERROR]: An impossible position for P with coords x, y: 4 1
[18:54:2 27/10/2022][ERROR]: An impossible position for P with coords x, y: 6 1
[18:54:34 27/10/2022][ERROR]: An impossible position for B with coords x, y: 5 7
[18:54:37 27/10/2022][ERROR]: An impossible position for N with coords x, y: 4 3
[18:55:17 27/10/2022][ERROR]: An impossible position for K with coords x, y: 2 2
[18:55:36 27/10/2022][ERROR]: An impossible position for K with coords x, y: 2 3
[18:55:42 27/10/2022][ERROR]: An impossible position for K with coords x, y: 4 1
[20:16:4 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 6
[20:21:33 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 1
[20:25:5 27/10/2022][ERROR]: An impossible position for Q with coords x, y: 3 0
[20:25:6 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 1
[20:25:7 27/10/2022][ERROR]: An impossible position for P with coords x, y: 4 1
[22:16:46 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 1
[22:16:46 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 1
[22:26:7 27/10/2022][ERROR]: An impossible position for Q with coords x, y: 3 0
[22:27:36 27/10/2022][ERROR]: An impossible position for N with coords x, y: 1 7
[23:15:43 27/10/2022][ERROR]: An impossible position for Q with coords x, y: 0 4
[23:35:34 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 6
[23:37:19 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 4
[23:41:19 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 1
[23:41:20 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 1
[23:42:52 27/10/2022][ERROR]: An impossible position for P with coords x, y: 0 1
[23:48:27 27/10/2022][ERROR]: An impossible position for P with coords x, y: 4 6
[23:48:29 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 6
[23:48:32 27/10/2022][ERROR]: An impossible position for P with coords x, y: 1 6
[23:48:52 27/10/2022][ERROR]: An impossible position for P with coords x, y: 4 6
[23:48:52 27/10/2022][ERROR]: An impossible position for P with coords x, y: 3 6
[23:49:17 27/10/2022][ERROR]: An impossible position for P with coords x, y: 2 6
[0:13:48 28/10/2022][ERROR]: An impossible position for P with coords x, y: 7 6
[0:14:41 28/10/2022][ERROR]: An impossible position for N with coords x, y: 1 7
